Year,Poverty total,Total Snap,CPI_U (inflation)
1998,271059449,20283176,2.2
1998,271059449,19992925,2.3
1998,271059449,19977870,2.1
1998,271059449,19675066,2.1
1998,271059449,19431894,2.2
1998,271059449,19250882,2.2
1998,271059449,19004702,2.2
1998,271059449,18926123,2.5
1998,271059449,18663309,2.5
1998,271059449,18678912,2.3
1998,271059449,18612563,2.3
1998,271059449,18581720,2.4
1999,276207757,18447534,2.4
1999,276207757,18243270,2.1
1999,276207757,18309586,2.1
1999,276207757,18064280,2.2
1999,276207757,17902138,2
1999,276207757,17794783,2.1
1999,276207757,17686043,2.1
1999,276207757,17634866,1.9
1999,276207757,17489405,2
1999,276207757,17492824,2.1
1999,276207757,17439419,2.1
1999,276207757,17408569,1.9
2000,278944452,17255742,2
2000,278944452,17152636,2.2
2000,278944452,17246629,2.4
2000,278944452,17002232,2.3
2000,278944452,16980105,2.4
2000,278944452,17008015,2.5
2000,278944452,16834178,2.5
2000,278944452,16967492,2.6
2000,278944452,16960210,2.6
2000,278944452,16997490,2.5
2000,278944452,17055307,2.6
2000,278944452,17139213,2.6
2001,281474939,17086311,2.6
2001,281474939,16919028,2.7
2001,281474939,17214502,2.7
2001,281474939,17104637,2.6
2001,281474939,17208128,2.5
2001,281474939,17384425,2.7
2001,281474939,17453079,2.7
2001,281474939,17734335,2.7
2001,281474939,17822296,2.6
2001,281474939,18140546,2.6
2001,281474939,18463176,2.8
2001,281474939,18709020,2.7
2002,285317346,18882283,2.6
2002,285317346,18932673,2.6
2002,285317346,19179510,2.4
2002,285317346,19135799,2.5
2002,285317346,19199043,2.5
2002,285317346,19274019,2.3
2002,285317346,19301633,2.2
2002,285317346,19649649,2.4
2002,285317346,19753716,2.2
2002,285317346,19996523,2.2
2002,285317346,20285297,2
2002,285317346,20516463,1.9
2003,287699184,20667737,1.9
2003,287699184,20709721,1.7
2003,287699184,20992523,1.7
2003,287699184,21217225,1.5
2003,287699184,21498615,1.6
2003,287699184,21744156,1.5
2003,287699184,21992272,1.5
2003,287699184,22313663,1.3
2003,287699184,22550273,1.2
2003,287699184,22747712,1.3
2003,287699184,22928319,1.1
2003,287699184,23222657,1.1
2004,290616537,23376217,1.1
2004,290616537,23468409,1.2
2004,290616537,23756610,1.6
2004,290616537,23832698,1.8
2004,290616537,23945378,1.7
2004,290616537,24121125,1.9
2004,290616537,24360752,1.8
2004,290616537,24571534,1.7
2004,290616537,24731142,2
2004,290616537,24957945,2
2004,290616537,25119344,2.2
2004,290616537,25426493,2.2
2005,287270432,25402903,2.3
2005,287270432,25231055,2.4
2005,287270432,25397093,2.3
2005,287270432,25320996,2.2
2005,287270432,25367307,2.2
2005,287270432,25496426,2
2005,287270432,25538310,2.1
2005,287270432,25724164,2.1
2005,287270432,25955658,2
2005,287270432,26105600,2.1
2005,287270432,26228799,2.1
2005,287270432,26404246,2.2
2006,291531091,26246441,2.1
2006,291531091,26010027,2.1
2006,291531091,26115887,2.1
2006,291531091,25901953,2.3
2006,291531091,25928623,2.4
2006,291531091,26006372,2.6
2006,291531091,25934487,2.7
2006,291531091,26129847,2.8
2006,291531091,26144056,2.9
2006,291531091,26229106,2.7
2006,291531091,26259246,2.6
2006,291531091,26347153,2.6
2007,293744043,26324675,2.7
2007,293744043,26111520,2.7
2007,293744043,26334964,2.5
2007,293744043,26240910,2.3
2007,293744043,26369433,2.2
2007,293744043,26569625,2.2
2007,293744043,26577542,2.2
2007,293744043,26862951,2.1
2007,293744043,26889107,2.1
2007,293744043,27148962,2.2
2007,293744043,27286801,2.3
2007,293744043,27445874,2.4
2008,296184480,27689166,2.5
2008,296184480,27689619,2.3
2008,296184480,27915461,2.4
2008,296184480,28115579,2.3
2008,296184480,28394158,2.3
2008,296184480,28638751,2.4
2008,296184480,28820489,2.5
2008,296184480,29216529,2.5
2008,296184480,29628155,2.5
2008,296184480,30253955,2.2
2008,296184480,30723331,2
2008,296184480,31417320,1.8
2009,299026555,31933635,1.7
2009,299026555,32287089,1.8
2009,299026555,32881451,1.8
2009,299026555,33476028,1.9
2009,299026555,34122136,1.8
2009,299026555,34831371,1.7
2009,299026555,35551377,1.5
2009,299026555,36225254,1.4
2009,299026555,36865358,1.5
2009,299026555,37619513,1.7
2009,299026555,38129657,1.7
2009,299026555,38870777,1.8
2010,301535021,39329386,1.6
2010,301535021,39531865,1.3
2010,301535021,40074628,1.1
2010,301535021,40373251,0.9
2010,301535021,40743573,0.9
2010,301535021,41217372,0.9
2010,301535021,41777548,0.9
2010,301535021,42340865,0.9
2010,301535021,42711843,0.8
2010,301535021,43140391,0.6
2010,301535021,43534587,0.8
2010,301535021,44020173,0.8
2011,303778193,44111458,1
2011,303778193,44137100,1.1
2011,303778193,44539451,1.2
2011,303778193,44569011,1.3
2011,303778193,44773589,1.5
2011,303778193,45114717,1.6
2011,303778193,45277502,1.8
2011,303778193,45729176,2
2011,303778193,45908729,2
2011,303778193,46082775,2.1
2011,303778193,46218769,2.2
2011,303778193,46445865,2.2
2012,306086063,46381698,2.3
2012,306086063,46258287,2.2
2012,306086063,46337474,2.3
2012,306086063,46206842,2.3
2012,306086063,46428444,2.3
