Year,Poverty total,Total Snap
1998,271059449,20283176
1998,271059449,19992925
1998,271059449,19977870
1998,271059449,19675066
1998,271059449,19431894
1998,271059449,19250882
1998,271059449,19004702
1998,271059449,18926123
1998,271059449,18663309
1998,271059449,18678912
1998,271059449,18612563
1998,271059449,18581720
1999,276207757,18447534
1999,276207757,18243270
1999,276207757,18309586
1999,276207757,18064280
1999,276207757,17902138
1999,276207757,17794783
1999,276207757,17686043
1999,276207757,17634866
1999,276207757,17489405
1999,276207757,17492824
1999,276207757,17439419
1999,276207757,17408569
2000,278944452,17255742
2000,278944452,17152636
2000,278944452,17246629
2000,278944452,17002232
2000,278944452,16980105
2000,278944452,17008015
2000,278944452,16834178
2000,278944452,16967492
2000,278944452,16960210
2000,278944452,16997490
2000,278944452,17055307
2000,278944452,17139213
2001,281474939,17086311
2001,281474939,16919028
2001,281474939,17214502
2001,281474939,17104637
2001,281474939,17208128
2001,281474939,17384425
2001,281474939,17453079
2001,281474939,17734335
2001,281474939,17822296
2001,281474939,18140546
2001,281474939,18463176
2001,281474939,18709020
2002,285317346,18882283
2002,285317346,18932673
2002,285317346,19179510
2002,285317346,19135799
2002,285317346,19199043
2002,285317346,19274019
2002,285317346,19301633
2002,285317346,19649649
2002,285317346,19753716
2002,285317346,19996523
2002,285317346,20285297
2002,285317346,20516463
2003,287699184,20667737
2003,287699184,20709721
2003,287699184,20992523
2003,287699184,21217225
2003,287699184,21498615
2003,287699184,21744156
2003,287699184,21992272
2003,287699184,22313663
2003,287699184,22550273
2003,287699184,22747712
2003,287699184,22928319
2003,287699184,23222657
2004,290616537,23376217
2004,290616537,23468409
2004,290616537,23756610
2004,290616537,23832698
2004,290616537,23945378
2004,290616537,24121125
2004,290616537,24360752
2004,290616537,24571534
2004,290616537,24731142
2004,290616537,24957945
2004,290616537,25119344
2004,290616537,25426493
2005,287270432,25402903
2005,287270432,25231055
2005,287270432,25397093
2005,287270432,25320996
2005,287270432,25367307
2005,287270432,25496426
2005,287270432,25538310
2005,287270432,25724164
2005,287270432,25955658
2005,287270432,26105600
2005,287270432,26228799
2005,287270432,26404246
2006,291531091,26246441
2006,291531091,26010027
2006,291531091,26115887
2006,291531091,25901953
2006,291531091,25928623
2006,291531091,26006372
2006,291531091,25934487
2006,291531091,26129847
2006,291531091,26144056
2006,291531091,26229106
2006,291531091,26259246
2006,291531091,26347153
2007,293744043,26324675
2007,293744043,26111520
2007,293744043,26334964
2007,293744043,26240910
2007,293744043,26369433
2007,293744043,26569625
2007,293744043,26577542
2007,293744043,26862951
2007,293744043,26889107
2007,293744043,27148962
2007,293744043,27286801
2007,293744043,27445874
2008,296184480,27689166
2008,296184480,27689619
2008,296184480,27915461
2008,296184480,28115579
2008,296184480,28394158
2008,296184480,28638751
2008,296184480,28820489
2008,296184480,29216529
2008,296184480,29628155
2008,296184480,30253955
2008,296184480,30723331
2008,296184480,31417320
2009,299026555,31933635
2009,299026555,32287089
2009,299026555,32881451
2009,299026555,33476028
2009,299026555,34122136
2009,299026555,34831371
2009,299026555,35551377
2009,299026555,36225254
2009,299026555,36865358
2009,299026555,37619513
2009,299026555,38129657
2009,299026555,38870777
2010,301535021,39329386
2010,301535021,39531865
2010,301535021,40074628
2010,301535021,40373251
2010,301535021,40743573
2010,301535021,41217372
2010,301535021,41777548
2010,301535021,42340865
2010,301535021,42711843
2010,301535021,43140391
2010,301535021,43534587
2010,301535021,44020173
2011,303778193,44111458
2011,303778193,44137100
2011,303778193,44539451
2011,303778193,44569011
2011,303778193,44773589
2011,303778193,45114717
2011,303778193,45277502
2011,303778193,45729176
2011,303778193,45908729
2011,303778193,46082775
2011,303778193,46218769
2011,303778193,46445865
2012,306086063,46381698
2012,306086063,46258287
2012,306086063,46337474
2012,306086063,46206842
2012,306086063,46428444
2012,306086063,46601160
2012,306086063,46705742
2012,306086063,47032591
2012,306086063,47030045
2012,306086063,47480226
2012,306086063,47591128
2012,306086063,47680562
2013,308196783,47699441
2013,308196783,47485307
2013,308196783,47652066
2013,308196783,47475925
2013,308196783,47562229
2013,308196783,47579607
2013,308196783,47563392
2013,308196783,47590897
2013,308196783,47230870
2013,308196783,47340961
2013,308196783,46900796
2013,308196783,46704730
2014,310899910,46426484
2014,310899910,46121955
2014,310899910,46225106
2014,310899910,46172267
2014,310899910,46326886
2014,310899910,46420759
2014,310899910,46412427
2014,310899910,46405852
2014,310899910,46384941
2014,310899910,46425302
2014,310899910,46164657
2014,310899910,46177831
2015,313476400,45896199
2015,313476400,45607524
2015,313476400,45567284
2015,313476400,45365600
2015,313476400,45365298
2015,313476400,45435866
2015,313476400,45403699
2015,313476400,45389259
2015,313476400,45340481
2015,313476400,45293099
2015,313476400,45076641
2015,313476400,44981496
2016,315165470,44625448
2016,315165470,44307695
2016,315165470,44235322
2016,315165470,43495651
2016,315165470,43407237
2016,315165470,43462621
2016,315165470,43241751
2016,315165470,43419867
2016,315165470,43324596
2016,315165470,43178930
2016,315165470,43078226
2016,315165470,42891644
2017,317741588,42609759
2017,317741588,42229313
2017,317741588,42145525
2017,317741588,41642464
2017,317741588,41609807
2017,317741588,41526305
2017,317741588,41377882
2017,317741588,41586990
2017,317741588,41479592
2017,317741588,41436590
2017,317741588,41261679
2017,317741588,41129633
2018,319184033,40795666
2018,319184033,40422363
2018,319184033,40364909
2018,319184033,39960208
2018,319184033,39885713
2018,319184033,39752509
2018,319184033,39438258
2018,319184033,39383595
2018,319184033,39133156
2018,319184033,39082432
2018,319184033,38823723
